C,lr,momentum,wd,test_acc,test_loss,steps
0.05,0.02,0.9,0.0005,0.39794303797468356,1.3066508674420385,937
0.5615384615384615,0.02,0.9,0.0005,0.6484704641350211,1.4345597554359757,937
1.073076923076923,0.02,0.9,0.0005,0.7055643459915611,1.2467313825078152,937
1.5846153846153845,0.02,0.9,0.0005,0.7344409282700421,1.1077025899907205,937
2.096153846153846,0.02,0.9,0.0005,0.7507911392405063,1.0160949933755248,937
2.6076923076923073,0.02,0.9,0.0005,0.7556698312236287,0.9617054176984458,937
3.119230769230769,0.02,0.9,0.0005,0.7655590717299579,0.9153037896764933,937
3.6307692307692303,0.02,0.9,0.0005,0.7678006329113924,0.8862392606237267,937
4.142307692307692,0.02,0.9,0.0005,0.7710970464135021,0.8682151367015476,937
4.653846153846153,0.02,0.9,0.0005,0.7692510548523207,0.8674455420880378,937
5.165384615384615,0.02,0.9,0.0005,0.7674050632911392,0.8693494857740804,937
5.676923076923076,0.02,0.9,0.0005,0.7655590717299579,0.8684582278321061,937
6.188461538461538,0.02,0.9,0.0005,0.7577795358649789,0.898001769549736,937
6.699999999999999,0.02,0.9,0.0005,0.7509229957805907,0.918850559033925,937
7.211538461538461,0.02,0.9,0.0005,0.7501318565400844,0.9331326445698235,937
7.723076923076922,0.02,0.9,0.0005,0.744198312236287,0.9351367507177063,937
8.234615384615385,0.02,0.9,0.0005,0.7412974683544303,0.9221318238395176,937
8.746153846153845,0.02,0.9,0.0005,0.7378691983122363,0.9305624682692033,937
9.257692307692308,0.02,0.9,0.0005,0.7278481012658228,0.9372483559801609,937
9.76923076923077,0.02,0.9,0.0005,0.7225738396624473,0.9573338598893162,937
10.28076923076923,0.02,0.9,0.0005,0.7223101265822784,0.9838776274069452,937
10.792307692307691,0.02,0.9,0.0005,0.714003164556962,0.9964367894432212,937
11.303846153846154,0.02,0.9,0.0005,0.7104430379746836,0.9485602346150684,937
11.815384615384616,0.02,0.9,0.0005,0.6915875527426161,1.0555916073956066,937
12.326923076923077,0.02,0.9,0.0005,0.6992352320675106,1.0220201285831032,937
12.838461538461537,0.02,0.9,0.0005,0.6809071729957806,1.0277474981571553,937
13.35,0.02,0.9,0.0005,0.663370253164557,1.0685511798546787,937
13.861538461538462,0.02,0.9,0.0005,0.6487341772151899,1.088301532127686,937
14.373076923076923,0.02,0.9,0.0005,0.6439873417721519,1.0804528083479354,937
14.884615384615383,0.02,0.9,0.0005,0.6099683544303798,1.0822615257546873,937
15.396153846153846,0.02,0.9,0.0005,0.6031118143459916,1.1460410200593845,937
15.907692307692308,0.02,0.9,0.0005,0.6044303797468354,1.1797045411439888,937
16.41923076923077,0.02,0.9,0.0005,0.5817510548523207,1.1373916122480787,937
16.93076923076923,0.02,0.9,0.0005,0.5574894514767933,1.2386110772060444,937
17.44230769230769,0.02,0.9,0.0005,0.5758175105485233,1.1652048682864709,937
17.953846153846154,0.02,0.9,0.0005,0.5197784810126582,1.282790837911614,937
18.465384615384615,0.02,0.9,0.0005,0.5363924050632911,1.2117131870507187,937
18.976923076923075,0.02,0.9,0.0005,0.5346782700421941,1.2876975098742713,937
19.48846153846154,0.02,0.9,0.0005,0.5531381856540084,1.2037235614116686,937
20.0,0.02,0.9,0.0005,0.4854957805907173,1.3166202497884694,937
